format,block,target,bits,seed,vocab,step,train_loss,val_loss,val_ppl
elementwise,1,activation,1,0,65,250,3.7129263877868652,3.681269145011902,39.69674303916139
elementwise,1,activation,1,0,65,500,3.507643699645996,3.530231994390488,34.131885102193
elementwise,1,activation,1,0,65,750,3.3461928367614746,3.3699070870876313,29.075825412671545
elementwise,1,activation,1,0,65,1000,3.4058003425598145,3.3510100483894347,28.531537328087342
elementwise,1,activation,1,0,65,1250,3.2248904705047607,3.305570524930954,27.26409199663552
elementwise,1,activation,1,0,65,1500,3.1465582847595215,3.213178515434265,24.857972236387386
elementwise,1,activation,1,0,65,1750,3.043578624725342,3.1593893110752105,23.556206021509357
elementwise,1,activation,1,0,65,2000,2.9474503993988037,3.1042064905166624,22.291523420176997
elementwise,1,activation,1,0,65,2250,2.855316400527954,3.072325575351715,21.59205829061944
elementwise,1,activation,1,0,65,2500,2.7804086208343506,3.034565621614456,20.79194436640578
elementwise,1,activation,1,0,65,2750,2.6923763751983643,2.943290191888809,18.978185574191485
elementwise,1,activation,1,0,65,3000,2.6819987297058105,2.94944686293602,19.095388439377682
elementwise,1,activation,1,0,65,3250,2.6375815868377686,2.914382725954056,18.437427943699245
elementwise,1,activation,1,0,65,3500,2.595395803451538,2.88792684674263,17.956045353734066
elementwise,1,activation,1,0,65,3750,2.5938611030578613,2.870677447319031,17.648970398567887
elementwise,1,activation,1,0,65,4000,2.5777082443237305,2.856022483110428,17.392211361591848
elementwise,1,activation,1,1,65,250,3.7007369995117188,3.6777027428150175,39.555420643620906
elementwise,1,activation,1,1,65,500,3.5429134368896484,3.535746067762375,34.32061066608731
elementwise,1,activation,1,1,65,750,3.3276829719543457,3.3233087062835693,27.75202210769939
elementwise,1,activation,1,1,65,1000,3.107326030731201,3.1649584829807282,23.68776056720398
elementwise,1,activation,1,1,65,1250,3.055474281311035,3.100555050373077,22.210275682597267
elementwise,1,activation,1,1,65,1500,3.032858371734619,3.114434689283371,22.520695563729106
elementwise,1,activation,1,1,65,1750,2.9279706478118896,3.0428026974201203,20.963916489657255
elementwise,1,activation,1,1,65,2000,2.806959867477417,3.0550077676773073,21.221350366873498
elementwise,1,activation,1,1,65,2250,2.7373788356781006,2.991105628013611,19.9076808179392
elementwise,1,activation,1,1,65,2500,2.7132058143615723,2.888274055719376,17.96228093633022
elementwise,1,activation,1,1,65,2750,2.647698163986206,2.8747994184494017,17.72186908495563
elementwise,1,activation,1,1,65,3000,2.6470298767089844,2.8382066786289215,17.085098974745254
elementwise,1,activation,1,1,65,3250,2.541536808013916,2.8225743889808657,16.820096453491143
elementwise,1,activation,1,1,65,3500,2.5493502616882324,2.844873720407486,17.19938660025298
elementwise,1,activation,1,1,65,3750,2.440891742706299,2.7803138494491577,16.12408068782979
elementwise,1,activation,1,1,65,4000,2.465583562850952,2.7752296805381773,16.042311179212092
elementwise,1,activation,1,2,65,250,3.678436756134033,3.6901464998722076,40.05071395199503
elementwise,1,activation,1,2,65,500,3.492490291595459,3.4628023982048033,31.906265405613137
elementwise,1,activation,1,2,65,750,3.3177244663238525,3.316392797231674,27.56075380624478
elementwise,1,activation,1,2,65,1000,3.311659336090088,3.288037449121475,26.79023483051443
elementwise,1,activation,1,2,65,1250,3.187626600265503,3.273175209760666,26.39501614015379
elementwise,1,activation,1,2,65,1500,3.140082359313965,3.23021205663681,25.285018258428074
elementwise,1,activation,1,2,65,1750,3.0740883350372314,3.2162589907646177,24.93466467055327
elementwise,1,activation,1,2,65,2000,2.8974950313568115,3.152806466817856,23.401648458289976
elementwise,1,activation,1,2,65,2250,2.855576992034912,3.108047163486481,22.37730249086979
elementwise,1,activation,1,2,65,2500,2.7940685749053955,3.0395276308059693,20.895370574148803
elementwise,1,activation,1,2,65,2750,2.8350367546081543,3.016021418571472,20.40992737624096
elementwise,1,activation,1,2,65,3000,2.6305058002471924,2.9543749034404754,19.189723539737862
elementwise,1,activation,1,2,65,3250,2.569247245788574,2.898051732778549,18.138771747565
elementwise,1,activation,1,2,65,3500,2.483795642852783,2.8917074501514435,18.024058524410535
elementwise,1,activation,1,2,65,3750,2.5149612426757812,2.8302680909633637,16.95000435847109
elementwise,1,activation,1,2,65,4000,2.469733715057373,2.7984453618526457,16.41910115814423
elementwise,1,activation,2,0,65,250,2.937908172607422,2.922241598367691,18.582896197067523
elementwise,1,activation,2,0,65,500,2.7307729721069336,2.745455378293991,15.571703333580885
elementwise,1,activation,2,0,65,750,2.5439369678497314,2.5771240532398223,13.159238417866893
elementwise,1,activation,2,0,65,1000,2.505345106124878,2.510773938894272,12.314457010638623
elementwise,1,activation,2,0,65,1250,2.3344058990478516,2.4463090658187867,11.545653731185267
elementwise,1,activation,2,0,65,1500,2.2516183853149414,2.364280676841736,10.636385066981134
elementwise,1,activation,2,0,65,1750,2.13706111907959,2.2888595044612883,9.863681778676114
elementwise,1,activation,2,0,65,2000,2.035598039627075,2.231431120634079,9.31318483782586
elementwise,1,activation,2,0,65,2250,1.9966574907302856,2.2080860137939453,9.098285723957025
elementwise,1,activation,2,0,65,2500,1.9009565114974976,2.167983150482178,8.740637700784074
elementwise,1,activation,2,0,65,2750,1.9041272401809692,2.1408621966838837,8.506768975902
elementwise,1,activation,2,0,65,3000,1.8798696994781494,2.1159388780593873,8.297372331061952
elementwise,1,activation,2,0,65,3250,1.8173168897628784,2.1152553498744964,8.29170278108248
elementwise,1,activation,2,0,65,3500,1.8162014484405518,2.1078499227762224,8.230525980365039
elementwise,1,activation,2,0,65,3750,1.7710411548614502,2.074987342953682,7.964445652039299
elementwise,1,activation,2,0,65,4000,1.7379575967788696,2.032312425971031,7.631713742977271
elementwise,1,activation,2,1,65,250,2.948366165161133,2.9262228488922117,18.657026830694832
elementwise,1,activation,2,1,65,500,2.8084802627563477,2.796857988834381,16.393058595081005
elementwise,1,activation,2,1,65,750,2.662672519683838,2.6620378851890565,14.325453000739218
elementwise,1,activation,2,1,65,1000,2.430867910385132,2.4703465819358827,11.826545008295586
elementwise,1,activation,2,1,65,1250,2.3134255409240723,2.400052660703659,11.02375688415109
elementwise,1,activation,2,1,65,1500,2.2531092166900635,2.3715202808380127,10.713667693078767
elementwise,1,activation,2,1,65,1750,2.118584156036377,2.2886738061904905,9.861850280084438
elementwise,1,activation,2,1,65,2000,2.0516369342803955,2.225010961294174,9.253584234609948
elementwise,1,activation,2,1,65,2250,1.987899661064148,2.2168304145336153,9.178193644635419
elementwise,1,activation,2,1,65,2500,1.9524450302124023,2.155223733186722,8.629820740290445
elementwise,1,activation,2,1,65,2750,1.8611713647842407,2.1302492141723635,8.416964176843827
elementwise,1,activation,2,1,65,3000,1.8492275476455688,2.0766611754894257,7.977787963583314
elementwise,1,activation,2,1,65,3250,1.8123317956924438,2.0677253007888794,7.906817015951951
elementwise,1,activation,2,1,65,3500,1.8227980136871338,2.035318171977997,7.6546872450463965
elementwise,1,activation,2,1,65,3750,1.7515292167663574,1.999895703792572,7.388285488589625
elementwise,1,activation,2,1,65,4000,1.715326189994812,2.0048582911491395,7.425041628084986
elementwise,1,activation,2,2,65,250,2.9296278953552246,2.921482628583908,18.568797691205518
elementwise,1,activation,2,2,65,500,2.747180700302124,2.751900517940521,15.67238925497267
elementwise,1,activation,2,2,65,750,2.588810443878174,2.60343621969223,13.510081975147557
elementwise,1,activation,2,2,65,1000,2.5305709838867188,2.521247059106827,12.444105526456386
elementwise,1,activation,2,2,65,1250,2.3739449977874756,2.4686496794223785,11.806493531856804
elementwise,1,activation,2,2,65,1500,2.329387664794922,2.3978681802749633,10.99970198627951
elementwise,1,activation,2,2,65,1750,2.2190072536468506,2.353311026096344,10.520345259302392
elementwise,1,activation,2,2,65,2000,2.0888614654541016,2.2942061126232147,9.916560254459489
elementwise,1,activation,2,2,65,2250,2.059622049331665,2.2388021409511567,9.382086136958575
elementwise,1,activation,2,2,65,2500,2.028899908065796,2.206781893968582,9.086428202662429
elementwise,1,activation,2,2,65,2750,2.0151467323303223,2.16487038731575,8.713472467101719
elementwise,1,activation,2,2,65,3000,1.9495936632156372,2.1611557960510255,8.681165519091541
elementwise,1,activation,2,2,65,3250,1.8324357271194458,2.122282826900482,8.350177757006987
elementwise,1,activation,2,2,65,3500,1.7387174367904663,2.0890679001808166,8.0773827273792
elementwise,1,activation,2,2,65,3750,1.8161826133728027,2.0567666798830033,7.820642246419615
elementwise,1,activation,2,2,65,4000,1.7834177017211914,2.0397334694862366,7.688559689998527
elementwise,1,activation,3,0,65,250,2.736448287963867,2.7209671318531035,15.195010719838436
elementwise,1,activation,3,0,65,500,2.544736862182617,2.5448806643486024,12.741707455375495
elementwise,1,activation,3,0,65,750,2.3106846809387207,2.361672616004944,10.608680870461498
elementwise,1,activation,3,0,65,1000,2.2566304206848145,2.2660112619400024,9.640869117157473
elementwise,1,activation,3,0,65,1250,2.093156337738037,2.195164757966995,8.981480705425707
elementwise,1,activation,3,0,65,1500,1.998409628868103,2.094254171848297,8.11938304695771
elementwise,1,activation,3,0,65,1750,1.8968172073364258,2.01578189432621,7.50659445080008
elementwise,1,activation,3,0,65,2000,1.7822847366333008,1.9730923235416413,7.192884860099189
elementwise,1,activation,3,0,65,2250,1.729866623878479,1.9452958405017853,6.995701160667379
