format,block,target,act_at,bits,seed,epoch,train_loss,train_acc,val_loss,val_acc,kl,disagree,logit_rel_err,logit_rel_err_c,upd_survive,grad_survive,grad_cos
elementwise,1,grad,producer,1,0,1,0.24364007457386364,0.9263272727272728,0.09210667759180069,0.9729999899864197,0.05569518730044365,0.02499999850988388,0.4785546362400055,0.4782342314720154,1.0,1.0,0.9946280545966569
elementwise,1,grad,producer,1,0,2,0.07880385298295454,0.9754,0.07338421046733856,0.9793999791145325,0.04530993476510048,0.01860000006854534,0.39492371678352356,0.3945617377758026,1.0,1.0,0.9946382744367732
elementwise,1,grad,producer,1,0,3,0.060351451526988634,0.9812545454545455,0.06672684848308563,0.9817999601364136,0.028273791074752808,0.0139999995008111,0.3305724859237671,0.32990723848342896,1.0,1.0,0.9946169831031977
elementwise,1,grad,producer,1,0,4,0.049765873579545455,0.985,0.05819021165370941,0.983199954032898,0.020279070362448692,0.013199999928474426,0.31103408336639404,0.3107258081436157,1.0,1.0,0.9946295449900072
elementwise,1,grad,producer,1,0,5,0.04481476384943182,0.9863454545454545,0.058673687279224396,0.9839999675750732,0.023639485239982605,0.011799999512732029,0.28894129395484924,0.2885231673717499,1.0,1.0,0.9946344419967297
elementwise,1,grad,producer,1,0,6,0.03850980557528409,0.9877272727272727,0.050525084137916565,0.9879999756813049,0.015549065545201302,0.00839999970048666,0.27224037051200867,0.2716616988182068,1.0,1.0,0.9946401196856831
elementwise,1,grad,producer,1,0,7,0.03495793013139205,0.9894181818181819,0.05144985392689705,0.9863999485969543,0.014681298285722733,0.007599999662488699,0.21676740050315857,0.21560920774936676,1.0,1.0,0.9946396228878998
elementwise,1,grad,producer,1,0,8,0.03135633433948864,0.9902363636363636,0.047163836658000946,0.9871999621391296,0.011313827708363533,0.006399999838322401,0.21725398302078247,0.21617592871189117,1.0,1.0,0.994634158112282
elementwise,1,grad,producer,1,0,9,0.02871195401278409,0.9910909090909091,0.055180177092552185,0.9857999682426453,0.015552862547338009,0.009200000204145908,0.17934387922286987,0.17815351486206055,1.0,1.0,0.9946348678234012
elementwise,1,grad,producer,1,0,10,0.026345763050426137,0.9917636363636364,0.06812020391225815,0.9801999926567078,0.03692913427948952,0.013399999588727951,0.20354147255420685,0.2022957056760788,1.0,1.0,0.9946404745412427
elementwise,1,grad,producer,1,0,11,0.023818159623579544,0.9925090909090909,0.05203448608517647,0.98499995470047,0.01737929694354534,0.009800000116229057,0.17966210842132568,0.17841395735740662,1.0,1.0,0.994625428665516
elementwise,1,grad,producer,1,0,12,0.022410076349431818,0.9929454545454546,0.0459226630628109,0.9878000020980835,0.0005461553810164332,0.002199999988079071,0.04051722586154938,0.03220830112695694,1.0,1.0,0.9946430295012718
elementwise,1,grad,producer,1,1,1,0.23618089488636362,0.9282,0.10288194566965103,0.9693999886512756,0.06317692995071411,0.026799999177455902,0.4640060365200043,0.4639888107776642,1.0,1.0,0.9946413971656977
elementwise,1,grad,producer,1,1,2,0.07588583096590909,0.9765454545454545,0.07476750761270523,0.9781999588012695,0.05044366419315338,0.020399998873472214,0.40317320823669434,0.40315788984298706,1.0,1.0,0.9946227317632631
elementwise,1,grad,producer,1,1,3,0.058688028231534094,0.9816,0.06940193474292755,0.9793999791145325,0.03320593759417534,0.016999999061226845,0.33870798349380493,0.3385709822177887,1.0,1.0,0.9946246479832849
elementwise,1,grad,producer,1,1,4,0.047919025213068185,0.9850727272727273,0.0643266960978508,0.9813999533653259,0.027009880170226097,0.0142000000923872,0.3488011360168457,0.3486214280128479,1.0,1.0,0.9946240092432777
elementwise,1,grad,producer,1,1,5,0.04100751065340909,0.9872727272727273,0.0523148812353611,0.9851999878883362,0.025325283408164978,0.012399999424815178,0.28451627492904663,0.28429198265075684,1.0,1.0,0.9946311063544695
elementwise,1,grad,producer,1,1,6,0.036773213334517045,0.9883272727272727,0.04986206069588661,0.986799955368042,0.01579299196600914,0.008999999612569809,0.23240798711776733,0.23214168846607208,1.0,1.0,0.9946285513944404
elementwise,1,grad,producer,1,1,7,0.03299468439275568,0.989909090909091,0.04656611382961273,0.9873999953269958,0.018795104697346687,0.009800000116229057,0.23979739844799042,0.23941786587238312,1.0,1.0,0.9946282675099928
elementwise,1,grad,producer,1,1,8,0.03001162109375,0.9906181818181818,0.05098918080329895,0.9853999614715576,0.027562402188777924,0.012000000104308128,0.25945714116096497,0.259206622838974,1.0,1.0,0.9946320999500363
elementwise,1,grad,producer,1,1,9,0.027484042080965908,0.9909818181818182,0.06111755222082138,0.983199954032898,0.025164879858493805,0.012799999676644802,0.21581023931503296,0.21551886200904846,1.0,1.0,0.9946291191633357
elementwise,1,grad,producer,1,1,10,0.025620523348721592,0.9917272727272727,0.04571951925754547,0.9879999756813049,0.022743454203009605,0.009999999776482582,0.18948306143283844,0.18924640119075775,1.0,1.0,0.9946548816769623
elementwise,1,grad,producer,1,1,11,0.023017642489346592,0.9926,0.054543402045965195,0.9853999614715576,0.022015530616044998,0.01119999960064888,0.1829259842634201,0.18260805308818817,1.0,1.0,0.994630609556686
elementwise,1,grad,producer,1,1,12,0.02027792746803977,0.9939454545454546,0.04886031523346901,0.9871999621391296,0.0007345816702581942,0.0015999999595806003,0.0406898632645607,0.03856333717703819,1.0,1.0,0.9946528235147166
elementwise,1,grad,producer,1,2,1,0.22741917613636364,0.9310363636363637,0.08962780982255936,0.974399983882904,0.05275571718811989,0.020999999716877937,0.45650359988212585,0.4564318060874939,1.0,1.0,0.9946170540743096
elementwise,1,grad,producer,1,2,2,0.0717038973721591,0.9776363636363636,0.06498079746961594,0.9811999797821045,0.028628002852201462,0.0139999995008111,0.35525813698768616,0.3550981879234314,1.0,1.0,0.9946267771166425
