format,target,bits,seeds,final_acc,final_acc_min,final_acc_max,best_acc,best_epoch,final_loss,min_loss,ep_to_90,ep_to_90_n,ep_to_95,ep_to_95_n,ep_to_98,ep_to_98_n,kl,disagree,logit_rel_err,logit_rel_err_c,upd_survive
bfp16,act_weight,1,3,0.7314,0.724,0.794,0.794,4,0.8561,0.6976,,0,,0,,0,0.830009,0.2686,0.903544,0.869663,0.000543
bfp16,act_weight,2,3,0.8826,0.879,0.898,0.884,9,0.4093,0.4093,9,1,,0,,0,0.38688,0.1158,0.867364,0.792646,0.001377
bfp16,act_weight,3,3,0.954,0.9534,0.9554,0.9556,11,0.1677,0.1677,1,3,5,3,,0,0.135559,0.0432,1.823167,0.648152,0.004151
bfp16,act_weight,4,3,0.9772,0.9768,0.9778,0.9778,8,0.0784,0.0784,1,3,1,3,,0,0.0472,0.02,5.357913,0.439575,0.016028
bfp16,act_weight,5,3,0.9842,0.9842,0.9864,0.9846,12,0.0575,0.0566,1,3,1,3,7,3,0.01997,0.0114,6.855482,0.291126,0.04791
bfp16,act_weight,7,3,0.9862,0.9854,0.9892,0.9872,10,0.0498,0.0471,1,3,1,3,4,3,0.002773,0.0036,2.717117,0.11867,0.168143
bfp16,act_weight,10,3,0.9866,0.9864,0.9902,0.9884,10,0.0472,0.046,1,3,1,3,3,3,0.000291,0.0012,0.339909,0.025482,0.435476
bfp16,act_weight,23,3,0.9878,0.9864,0.9906,0.9888,10,0.0463,0.0463,1,3,1,3,3,3,9.8e-05,0.001,0.014619,0.014591,1.0
bfp16,activation,1,3,0.986,0.9838,0.9874,0.9876,8,0.0552,0.05,1,3,1,3,5,3,0.027153,0.0122,0.232123,0.231621,1.0
bfp16,activation,2,3,0.987,0.9854,0.9894,0.9876,10,0.0497,0.0464,1,3,1,3,3,3,0.006944,0.0056,0.114582,0.114238,1.0
bfp16,activation,3,3,0.9876,0.9868,0.9902,0.9894,12,0.049,0.0437,1,3,1,3,3,3,0.002477,0.0034,0.071904,0.071651,1.0
bfp16,activation,4,3,0.9874,0.9864,0.9904,0.9882,7,0.0489,0.0462,1,3,1,3,3,3,0.000744,0.0012,0.040495,0.040381,1.0
