format,target,bits,seeds,final_acc,final_acc_min,final_acc_max,best_acc,best_epoch,final_loss,min_loss,ep_to_90,ep_to_90_n,ep_to_95,ep_to_95_n,ep_to_98,ep_to_98_n,kl,disagree,logit_rel_err,logit_rel_err_c,upd_survive,grad_survive,grad_cos
bfp16,grad,1,3,0.9882,0.986,0.9898,0.9882,12,0.0462,0.0462,1,3,1,3,3,3,0.001718,0.0036,0.758678,0.069598,1.0,0.401019,0.979473
bfp16,grad,2,3,0.9864,0.9862,0.9904,0.9882,10,0.0466,0.0462,1,3,1,3,3,3,0.000611,0.0014,0.404953,0.039862,1.0,0.516588,0.994173
bfp16,grad,3,3,0.9874,0.9858,0.9898,0.989,12,0.047,0.046,1,3,1,3,3,3,0.000317,0.0016,0.201469,0.028458,1.0,0.605537,0.998422
bfp16,grad,4,3,0.9868,0.9868,0.99,0.9882,10,0.047,0.0459,1,3,1,3,3,3,0.000126,0.0008,0.097442,0.01708,1.0,0.676333,0.999577
bfp16,grad,5,3,0.987,0.9868,0.9902,0.9886,10,0.047,0.0462,1,3,1,3,3,3,0.000143,0.0008,0.044661,0.01584,1.0,0.732757,0.999889
bfp16,grad,7,3,0.987,0.9866,0.9904,0.9888,10,0.0472,0.0461,1,3,1,3,3,3,0.000124,0.0008,0.016213,0.014701,1.0,0.808268,0.999996
bfp16,grad,10,3,0.987,0.9868,0.9906,0.9882,10,0.0471,0.0462,1,3,1,3,3,3,8e-05,0.0008,0.013435,0.013415,1.0,0.875784,1.0
bfp16,grad,23,3,0.9876,0.987,0.9904,0.9884,10,0.0466,0.046,1,3,1,3,3,3,0.000114,0.0008,0.015996,0.01597,1.0,1.0,1.0
bfp16,grad_sr,1,3,0.9878,0.9872,0.9904,0.988,12,0.0451,0.0445,1,3,1,3,4,3,0.001904,0.0028,0.069537,0.064083,1.0,0.434402,0.956744
bfp16,grad_sr,2,3,0.9874,0.9872,0.99,0.9884,10,0.0465,0.0453,1,3,1,3,4,3,0.000733,0.0016,0.043963,0.038739,1.0,0.540711,0.987696
