format,target,bits,seeds,final_acc,final_acc_min,final_acc_max,best_acc,best_epoch,final_loss,min_loss,ep_to_90,ep_to_90_n,ep_to_95,ep_to_95_n,ep_to_98,ep_to_98_n,kl,disagree,logit_rel_err,logit_rel_err_c,upd_survive,grad_survive,grad_cos
bfp16,grad,1,3,0.9876,0.987,0.9898,0.9886,12,0.0469,0.0454,0.1,3,0.3,3,2.3,3,0.001575,0.003,0.773629,0.068845,1.0,0.401,0.979459
bfp16,grad,2,3,0.9862,0.986,0.9902,0.9884,10,0.0475,0.046,0.1,3,0.3,3,2.3,3,0.000553,0.0016,0.406773,0.037091,1.0,0.516927,0.994172
bfp16,grad,3,3,0.9874,0.9864,0.9898,0.9882,12,0.0468,0.0459,0.1,3,0.3,3,2.3,3,0.000286,0.0008,0.206588,0.024005,1.0,0.605975,0.99842
bfp16,grad,4,3,0.9868,0.9864,0.9904,0.9878,10,0.047,0.0459,0.1,3,0.3,3,2.3,3,0.000199,0.0008,0.094724,0.01958,1.0,0.676184,0.999577
bfp16,grad,5,3,0.9866,0.9866,0.9906,0.9886,10,0.0469,0.0462,0.1,3,0.3,3,2.3,3,0.000104,0.0006,0.044946,0.013806,1.0,0.731563,0.999889
bfp16,grad,7,3,0.987,0.987,0.9904,0.9886,10,0.0475,0.046,0.1,3,0.3,3,1.9,3,9.7e-05,0.001,0.016495,0.014661,1.0,0.809101,0.999996
bfp16,grad,10,3,0.9868,0.9868,0.9902,0.9884,10,0.0466,0.0461,0.1,3,0.3,3,2.3,3,0.0001,0.0008,0.014302,0.014271,1.0,0.875686,1.0
bfp16,grad,23,3,0.9874,0.9866,0.9906,0.9888,10,0.0462,0.046,0.1,3,0.3,3,2.3,3,6.5e-05,0.0012,0.012134,0.0121,1.0,1.0,1.0
bfp16,grad_sr,1,3,0.9874,0.9864,0.9904,0.9882,10,0.0468,0.0441,0.1,3,0.3,3,1.5,3,0.001809,0.0022,0.074565,0.065494,1.0,0.434305,0.956811
bfp16,grad_sr,2,3,0.9874,0.9866,0.9906,0.9876,10,0.0468,0.0452,0.1,3,0.3,3,1.8,3,0.000755,0.0018,0.042976,0.040702,1.0,0.540524,0.987696
bfp16,grad_sr,3,3,0.9874,0.9862,0.9902,0.9886,10,0.046,0.0458,0.1,3,0.3,3,1.8,3,0.000304,0.001,0.027602,0.025024,1.0,0.623741,0.996676
bfp16,grad_sr,4,3,0.9866,0.9864,0.9904,0.9884,10,0.0469,0.0462,0.1,3,0.3,3,2.3,3,0.000153,0.0008,0.018793,0.017253,1.0,0.689965,0.999122
bfp16,grad_sr,5,3,0.9868,0.9868,0.9902,0.988,10,0.0463,0.046,0.1,3,0.3,3,2.3,3,0.000155,0.0006,0.017387,0.017211,1.0,0.742563,0.999772
bfp16,grad_sr,7,3,0.9868,0.9864,0.9904,0.989,10,0.0465,0.0462,0.1,3,0.3,3,2.3,3,0.000138,0.0008,0.015913,0.015883,1.0,0.816806,0.999986
bfp16,grad_sr,10,3,0.9872,0.9862,0.9904,0.9882,10,0.047,0.0461,0.1,3,0.3,3,2.3,3,0.00012,0.0014,0.015281,0.015239,1.0,0.880726,1.0
bfp16,grad_sr,23,3,0.9872,0.9864,0.9902,0.9888,10,0.0468,0.0461,0.1,3,0.3,3,2.3,3,0.000117,0.0008,0.016255,0.016201,1.0,1.0,1.0
elementwise,grad,1,3,0.987,0.9866,0.9902,0.9878,10,0.046,0.046,0.1,3,0.3,3,2.3,3,0.000524,0.002,0.04116,0.03358,1.0,1.0,0.994627
