K,method,rel_err
16,fp32,5.686162628607824e-08
16,bf16,0.0029044484943880093
16,bf16_in_fp32_math,0.002381594844561221
64,fp32,1.4504985286650638e-07
64,bf16,0.0028941537602116194
64,bf16_in_fp32_math,0.0023656226552475307
256,fp32,1.5102537571213636e-07
256,bf16,0.0028813745935583083
256,bf16_in_fp32_math,0.0023479137972845523
1024,fp32,2.286374527310331e-07
1024,bf16,0.003326888823482721
1024,bf16_in_fp32_math,0.002332229276542144
4096,fp32,3.26459487077103e-07
4096,bf16,0.0028635989578992462
4096,bf16_in_fp32_math,0.002333492714436921
