K,method,rel_err
16,fp32,7.294212425036651e-08
16,bf16,0.002900181821002515
16,bf16_in_fp32_math,0.0023713030431146667
64,fp32,1.4319944509368127e-07
64,bf16,0.0028631078922979223
64,bf16_in_fp32_math,0.0023362594076568187
256,fp32,2.0535795446622768e-07
256,bf16,0.002874587362943601
256,bf16_in_fp32_math,0.002350451251489068
1024,fp32,2.482582908043702e-07
1024,bf16,0.0028735104827331843
1024,bf16_in_fp32_math,0.0023426088023180474
4096,fp32,2.648884894855024e-07
4096,bf16,0.002899771739597226
4096,bf16_in_fp32_math,0.002365900424708491
