figure,panel,series,bits,value,min,max
fig10,elementwise,grad,23,0.0012,,
fig10,elementwise,grad,10,0.001,,
fig10,elementwise,grad,7,0.001,,
fig10,elementwise,grad,5,0.001,,
fig10,elementwise,grad,4,0.0012,,
fig10,elementwise,grad,3,0.0014,,
fig10,elementwise,grad,2,0.0012,,
fig10,elementwise,grad,1,0.002,,
fig10,elementwise,grad_sr,23,0.0006,,
fig10,elementwise,grad_sr,10,0.001,,
fig10,elementwise,grad_sr,7,0.001,,
fig10,elementwise,grad_sr,5,0.0008,,
fig10,elementwise,grad_sr,4,0.0012,,
fig10,elementwise,grad_sr,3,0.0008,,
fig10,elementwise,grad_sr,2,0.0012,,
fig10,elementwise,grad_sr,1,0.0026,,
fig10,bfp16,grad,23,0.0012,,
fig10,bfp16,grad,10,0.0008,,
fig10,bfp16,grad,7,0.001,,
fig10,bfp16,grad,5,0.0006,,
fig10,bfp16,grad,4,0.0008,,
fig10,bfp16,grad,3,0.0008,,
fig10,bfp16,grad,2,0.0016,,
fig10,bfp16,grad,1,0.003,,
fig10,bfp16,grad_sr,23,0.0008,,
fig10,bfp16,grad_sr,10,0.0014,,
fig10,bfp16,grad_sr,7,0.0008,,
fig10,bfp16,grad_sr,5,0.0006,,
fig10,bfp16,grad_sr,4,0.0008,,
fig10,bfp16,grad_sr,3,0.001,,
fig10,bfp16,grad_sr,2,0.0018,,
fig10,bfp16,grad_sr,1,0.0022,,
