figure,panel,series,bits,value,min,max
fig11,elementwise,grad,23,1.0,,
fig11,elementwise,grad,10,1.0,,
fig11,elementwise,grad,7,1.0,,
fig11,elementwise,grad,5,0.999976,,
fig11,elementwise,grad,4,0.99991,,
fig11,elementwise,grad,3,0.99965,,
fig11,elementwise,grad,2,0.998611,,
fig11,elementwise,grad,1,0.994627,,
fig11,elementwise,grad_sr,23,1.0,,
fig11,elementwise,grad_sr,10,1.0,,
fig11,elementwise,grad_sr,7,1.0,,
fig11,elementwise,grad_sr,5,0.999958,,
fig11,elementwise,grad_sr,4,0.999824,,
fig11,elementwise,grad_sr,3,0.9993,,
fig11,elementwise,grad_sr,2,0.99722,,
fig11,elementwise,grad_sr,1,0.989227,,
fig11,bfp16,grad,23,1.0,,
fig11,bfp16,grad,10,1.0,,
fig11,bfp16,grad,7,0.999996,,
fig11,bfp16,grad,5,0.999889,,
fig11,bfp16,grad,4,0.999577,,
fig11,bfp16,grad,3,0.99842,,
fig11,bfp16,grad,2,0.994172,,
fig11,bfp16,grad,1,0.979459,,
fig11,bfp16,grad_sr,23,1.0,,
fig11,bfp16,grad_sr,10,1.0,,
fig11,bfp16,grad_sr,7,0.999986,,
fig11,bfp16,grad_sr,5,0.999772,,
fig11,bfp16,grad_sr,4,0.999122,,
fig11,bfp16,grad_sr,3,0.996676,,
fig11,bfp16,grad_sr,2,0.987696,,
fig11,bfp16,grad_sr,1,0.956811,,
