figure,panel,series,bits,value,min,max
fig12,elementwise,grad,23,2.3,1.9,2.4
fig12,elementwise,grad,10,2.3,1.9,2.4
fig12,elementwise,grad,7,2.3,1.9,2.4
fig12,elementwise,grad,5,2.3,1.9,2.4
fig12,elementwise,grad,4,1.9,1.7,2.4
fig12,elementwise,grad,3,2.3,1.9,2.4
fig12,elementwise,grad,2,1.9,1.5,2.4
fig12,elementwise,grad,1,2.3,1.9,2.4
fig12,elementwise,grad_sr,23,2.3,1.9,2.4
fig12,elementwise,grad_sr,10,1.9,1.7,2.5
fig12,elementwise,grad_sr,7,2.3,1.9,2.4
fig12,elementwise,grad_sr,5,1.9,1.7,2.4
fig12,elementwise,grad_sr,4,2.3,1.9,2.4
fig12,elementwise,grad_sr,3,2.3,1.9,2.4
fig12,elementwise,grad_sr,2,2.1,1.9,2.3
fig12,elementwise,grad_sr,1,1.9,1.7,2.4
fig12,bfp16,grad,23,2.3,1.9,2.4
fig12,bfp16,grad,10,2.3,1.9,2.4
fig12,bfp16,grad,7,1.9,1.7,2.4
fig12,bfp16,grad,5,2.3,1.9,2.4
fig12,bfp16,grad,4,2.3,1.9,2.4
fig12,bfp16,grad,3,2.3,1.9,2.4
fig12,bfp16,grad,2,2.3,2.0,2.4
fig12,bfp16,grad,1,2.3,1.9,2.4
fig12,bfp16,grad_sr,23,2.3,1.9,2.4
fig12,bfp16,grad_sr,10,2.3,1.9,2.4
fig12,bfp16,grad_sr,7,2.3,1.9,2.4
fig12,bfp16,grad_sr,5,2.3,1.9,2.4
fig12,bfp16,grad_sr,4,2.3,1.9,2.4
fig12,bfp16,grad_sr,3,1.8,1.5,2.4
fig12,bfp16,grad_sr,2,1.8,1.5,2.4
fig12,bfp16,grad_sr,1,1.5,1.4,2.4
