figure,panel,series,bits,value,min,max
fig13,elementwise,grad,23,0.047,,
fig13,elementwise,grad,10,0.047,,
fig13,elementwise,grad,7,0.0471,,
fig13,elementwise,grad,5,0.0469,,
fig13,elementwise,grad,4,0.0474,,
fig13,elementwise,grad,3,0.0473,,
fig13,elementwise,grad,2,0.0467,,
fig13,elementwise,grad,1,0.046,,
fig13,elementwise,grad_sr,23,0.0467,,
fig13,elementwise,grad_sr,10,0.0466,,
fig13,elementwise,grad_sr,7,0.0469,,
fig13,elementwise,grad_sr,5,0.0476,,
fig13,elementwise,grad_sr,4,0.0466,,
fig13,elementwise,grad_sr,3,0.0465,,
fig13,elementwise,grad_sr,2,0.048,,
fig13,elementwise,grad_sr,1,0.0471,,
fig13,bfp16,grad,23,0.0462,,
fig13,bfp16,grad,10,0.0466,,
fig13,bfp16,grad,7,0.0475,,
fig13,bfp16,grad,5,0.0469,,
fig13,bfp16,grad,4,0.047,,
fig13,bfp16,grad,3,0.0468,,
fig13,bfp16,grad,2,0.0475,,
fig13,bfp16,grad,1,0.0469,,
fig13,bfp16,grad_sr,23,0.0468,,
fig13,bfp16,grad_sr,10,0.047,,
fig13,bfp16,grad_sr,7,0.0465,,
fig13,bfp16,grad_sr,5,0.0463,,
fig13,bfp16,grad_sr,4,0.0469,,
fig13,bfp16,grad_sr,3,0.046,,
fig13,bfp16,grad_sr,2,0.0468,,
fig13,bfp16,grad_sr,1,0.0468,,
