figure,panel,series,bits,value,min,max
fig14,elementwise,grad,23,0.0,,
fig14,elementwise,grad,10,0.0,,
fig14,elementwise,grad,7,0.0,,
fig14,elementwise,grad,5,0.0,,
fig14,elementwise,grad,4,0.0,,
fig14,elementwise,grad,3,0.0,,
fig14,elementwise,grad,2,0.0,,
fig14,elementwise,grad,1,0.0,,
fig14,bfp16,grad,23,0.0,,
fig14,bfp16,grad,10,0.12431400000000004,,
fig14,bfp16,grad,7,0.19089900000000004,,
fig14,bfp16,grad,5,0.26843700000000004,,
fig14,bfp16,grad,4,0.323816,,
fig14,bfp16,grad,3,0.39402499999999996,,
fig14,bfp16,grad,2,0.483073,,
fig14,bfp16,grad,1,0.599,,
fig14,bfp16,grad_sr,23,0.0,,
fig14,bfp16,grad_sr,10,0.11927399999999999,,
fig14,bfp16,grad_sr,7,0.18319399999999997,,
fig14,bfp16,grad_sr,5,0.257437,,
fig14,bfp16,grad_sr,4,0.31003499999999995,,
fig14,bfp16,grad_sr,3,0.376259,,
fig14,bfp16,grad_sr,2,0.459476,,
fig14,bfp16,grad_sr,1,0.5656950000000001,,
