figure,panel,series,bits,value,min,max
fig1,elementwise,input,23,8.8e-05,,
fig1,elementwise,input,10,9.3e-05,,
fig1,elementwise,input,7,0.000212,,
fig1,elementwise,input,5,0.00025,,
fig1,elementwise,input,4,0.000332,,
fig1,elementwise,input,3,0.000303,,
fig1,elementwise,input,2,0.001695,,
fig1,elementwise,input,1,0.002042,,
fig1,elementwise,activation,23,0.000132,,
fig1,elementwise,activation,10,0.000128,,
fig1,elementwise,activation,7,0.00014,,
fig1,elementwise,activation,5,0.00021,,
fig1,elementwise,activation,4,0.000314,,
fig1,elementwise,activation,3,0.000858,,
fig1,elementwise,activation,2,0.002742,,
fig1,elementwise,activation,1,0.00599,,
fig1,elementwise,weight_master,23,6.5e-05,,
fig1,elementwise,weight_master,10,0.000102,,
fig1,elementwise,weight_master,7,0.000171,,
fig1,elementwise,weight_master,5,0.000277,,
fig1,elementwise,weight_master,4,0.000519,,
fig1,elementwise,weight_master,3,0.000933,,
fig1,elementwise,weight_master,2,0.001463,,
fig1,elementwise,weight_master,1,0.004579,,
fig1,elementwise,grad,23,9.2e-05,,
fig1,elementwise,grad,10,9.6e-05,,
fig1,elementwise,grad,7,0.000144,,
fig1,elementwise,grad,5,0.000131,,
fig1,elementwise,grad,4,0.00014,,
fig1,elementwise,grad,3,0.000284,,
fig1,elementwise,grad,2,0.000228,,
fig1,elementwise,grad,1,0.000546,,
fig1,elementwise,weight,23,9.5e-05,,
fig1,elementwise,weight,10,0.000151,,
fig1,elementwise,weight,7,0.001343,,
fig1,elementwise,weight,5,0.010994,,
fig1,elementwise,weight,4,0.026023,,
fig1,elementwise,weight,3,0.060581,,
fig1,elementwise,weight,2,0.135581,,
fig1,elementwise,weight,1,0.311018,,
fig1,bfp16,input,23,0.000117,,
fig1,bfp16,input,10,8e-05,,
fig1,bfp16,input,7,0.000109,,
fig1,bfp16,input,5,0.000254,,
fig1,bfp16,input,4,0.000488,,
fig1,bfp16,input,3,0.000727,,
fig1,bfp16,input,2,0.002149,,
fig1,bfp16,input,1,0.006112,,
fig1,bfp16,activation,23,9.3e-05,,
fig1,bfp16,activation,10,0.000132,,
fig1,bfp16,activation,7,0.000191,,
fig1,bfp16,activation,5,0.000496,,
fig1,bfp16,activation,4,0.000744,,
fig1,bfp16,activation,3,0.002477,,
fig1,bfp16,activation,2,0.006944,,
fig1,bfp16,activation,1,0.027153,,
fig1,bfp16,weight_master,23,0.000129,,
fig1,bfp16,weight_master,10,0.00021,,
fig1,bfp16,weight_master,7,0.000136,,
fig1,bfp16,weight_master,5,0.000397,,
fig1,bfp16,weight_master,4,0.000591,,
fig1,bfp16,weight_master,3,0.002407,,
fig1,bfp16,weight_master,2,0.005941,,
fig1,bfp16,weight_master,1,0.011569,,
fig1,bfp16,grad,23,0.000114,,
fig1,bfp16,grad,10,8e-05,,
fig1,bfp16,grad,7,0.000124,,
fig1,bfp16,grad,5,0.000143,,
fig1,bfp16,grad,4,0.000126,,
fig1,bfp16,grad,3,0.000317,,
fig1,bfp16,grad,2,0.000611,,
fig1,bfp16,grad,1,0.001718,,
fig1,bfp16,weight,23,9.3e-05,,
fig1,bfp16,weight,10,0.000255,,
fig1,bfp16,weight,7,0.002769,,
fig1,bfp16,weight,5,0.021106,,
fig1,bfp16,weight,4,0.046892,,
fig1,bfp16,weight,3,0.122627,,
fig1,bfp16,weight,2,0.392529,,
fig1,bfp16,weight,1,0.628759,,
