figure,panel,series,bits,value,min,max
fig2,update_survival,weight,23,,,
fig2,update_survival,weight,10,0.571738,,
fig2,update_survival,weight,7,0.333582,,
fig2,update_survival,weight,5,0.183044,,
fig2,update_survival,weight,4,0.131123,,
fig2,update_survival,weight,3,0.088885,,
fig2,update_survival,weight,2,0.063425,,
fig2,update_survival,weight,1,0.073394,,
fig2,accuracy,weight,23,0.987,,
fig2,accuracy,weight,10,0.9872,,
fig2,accuracy,weight,7,0.9872,,
fig2,accuracy,weight,5,0.9866,,
fig2,accuracy,weight,4,0.9844,,
fig2,accuracy,weight,3,0.9764,,
fig2,accuracy,weight,2,0.9614,,
fig2,accuracy,weight,1,0.925,,
fig2,update_survival,weight_master,23,,,
fig2,update_survival,weight_master,10,0.58613,,
fig2,update_survival,weight_master,7,0.358831,,
fig2,update_survival,weight_master,5,0.202046,,
fig2,update_survival,weight_master,4,0.138412,,
fig2,update_survival,weight_master,3,0.091391,,
fig2,update_survival,weight_master,2,0.056585,,
fig2,update_survival,weight_master,1,0.03462,,
fig2,accuracy,weight_master,23,0.987,,
fig2,accuracy,weight_master,10,0.9874,,
fig2,accuracy,weight_master,7,0.9868,,
fig2,accuracy,weight_master,5,0.987,,
fig2,accuracy,weight_master,4,0.9864,,
fig2,accuracy,weight_master,3,0.9866,,
fig2,accuracy,weight_master,2,0.9872,,
fig2,accuracy,weight_master,1,0.9872,,
