figure,panel,series,bits,value,min,max
fig3,CNN on MNIST  (minibatch),weight,23,0.9874,,
fig3,CNN on MNIST  (minibatch),weight,10,0.987,,
fig3,CNN on MNIST  (minibatch),weight,7,0.9868,,
fig3,CNN on MNIST  (minibatch),weight,5,0.9844,,
fig3,CNN on MNIST  (minibatch),weight,4,0.9776,,
fig3,CNN on MNIST  (minibatch),weight,3,0.957,,
fig3,CNN on MNIST  (minibatch),weight,2,0.8856,,
fig3,CNN on MNIST  (minibatch),weight,1,0.8164,,
fig3,CNN on MNIST  (minibatch),grad,23,0.9876,,
fig3,CNN on MNIST  (minibatch),grad,10,0.987,,
fig3,CNN on MNIST  (minibatch),grad,7,0.987,,
fig3,CNN on MNIST  (minibatch),grad,5,0.987,,
fig3,CNN on MNIST  (minibatch),grad,4,0.9868,,
fig3,CNN on MNIST  (minibatch),grad,3,0.9874,,
fig3,CNN on MNIST  (minibatch),grad,2,0.9864,,
fig3,CNN on MNIST  (minibatch),grad,1,0.9882,,
fig3,CNN on MNIST  (minibatch),grad_sr,23,0.987,,
fig3,CNN on MNIST  (minibatch),grad_sr,10,0.9874,,
fig3,CNN on MNIST  (minibatch),grad_sr,7,0.9866,,
fig3,CNN on MNIST  (minibatch),grad_sr,5,0.987,,
fig3,CNN on MNIST  (minibatch),grad_sr,4,0.987,,
fig3,CNN on MNIST  (minibatch),grad_sr,3,0.9876,,
fig3,CNN on MNIST  (minibatch),grad_sr,2,0.9874,,
fig3,CNN on MNIST  (minibatch),grad_sr,1,0.9878,,
fig3,MLP regression  (full-batch),weight,23,0.9986236513612508,,
fig3,MLP regression  (full-batch),weight,10,0.994865184321015,,
fig3,MLP regression  (full-batch),weight,7,0.9853993927979656,,
fig3,MLP regression  (full-batch),weight,5,0.9701270175489862,,
fig3,MLP regression  (full-batch),weight,4,0.7672480393770043,,
fig3,MLP regression  (full-batch),weight,3,0.2784132782768394,,
fig3,MLP regression  (full-batch),weight,2,0.1245843104135666,,
fig3,MLP regression  (full-batch),weight,1,0.16291590677823098,,
fig3,MLP regression  (full-batch),grad,23,0.9986236513612508,,
fig3,MLP regression  (full-batch),grad,10,0.9986236095610744,,
fig3,MLP regression  (full-batch),grad,7,0.9986239627064288,,
fig3,MLP regression  (full-batch),grad,5,0.9986240902176888,,
fig3,MLP regression  (full-batch),grad,4,0.9986224553363166,,
fig3,MLP regression  (full-batch),grad,3,0.9986180761464473,,
fig3,MLP regression  (full-batch),grad,2,0.9986074185561364,,
fig3,MLP regression  (full-batch),grad,1,0.9986330528696514,,
fig3,MLP regression  (full-batch),grad_sr,23,0.9986236513612508,,
fig3,MLP regression  (full-batch),grad_sr,10,0.9986236411158411,,
fig3,MLP regression  (full-batch),grad_sr,7,0.9986234700380784,,
fig3,MLP regression  (full-batch),grad_sr,5,0.9986231371514558,,
fig3,MLP regression  (full-batch),grad_sr,4,0.9986201242519084,,
fig3,MLP regression  (full-batch),grad_sr,3,0.9986284716265221,,
fig3,MLP regression  (full-batch),grad_sr,2,0.9986232979790266,,
fig3,MLP regression  (full-batch),grad_sr,1,0.9986284448899196,,
