figure,panel,series,bits,value,min,max
fig4,cnn,elementwise,23,0.0,,
fig4,cnn,elementwise,10,0.0,,
fig4,cnn,elementwise,7,0.0,,
fig4,cnn,elementwise,5,0.0,,
fig4,cnn,elementwise,4,0.0,,
fig4,cnn,elementwise,3,0.0,,
fig4,cnn,elementwise,2,0.0,,
fig4,cnn,elementwise,1,0.0,,
fig4,cnn,bfp16,23,0.0,,
fig4,cnn,bfp16,10,0.124216,,
fig4,cnn,bfp16,7,0.191732,,
fig4,cnn,bfp16,5,0.267243,,
fig4,cnn,bfp16,4,0.32366700000000004,,
fig4,cnn,bfp16,3,0.394463,,
fig4,cnn,bfp16,2,0.48341199999999995,,
fig4,cnn,bfp16,1,0.598981,,
fig4,mlp,bfp16,23,0.0,,
fig4,mlp,bfp16,10,0.000588786764705862,,
fig4,mlp,bfp16,7,0.004703676470588225,,
fig4,mlp,bfp16,5,0.01828262867647057,,
fig4,mlp,bfp16,4,0.03702867647058827,,
fig4,mlp,bfp16,3,0.07417233455882355,,
fig4,mlp,bfp16,2,0.14783097426470593,,
fig4,mlp,bfp16,1,0.29302380514705884,,
