figure,panel,series,bits,value,min,max
fig5,mlp,weight,23,0.9986236513612508,0.99798178588275,0.9995143436495386
fig5,mlp,weight,10,0.997279737646763,0.9961862813823116,0.9988881310448758
fig5,mlp,weight,7,0.9903201085651882,0.9879437716589878,0.994024540665006
fig5,mlp,weight,5,0.9911061369593506,0.9861145514551083,0.9938746535963211
fig5,mlp,weight,4,0.9377846250157013,0.7752834881734361,0.9976531839794442
fig5,mlp,weight,3,0.561437257938915,0.38640295552868753,0.8505256950028541
fig5,mlp,weight,2,0.22435795402782177,0.09431910804862076,0.30520266242033023
fig5,mlp,weight,1,0.09843232836830396,0.04743562702075488,0.188813350180006
fig5,mlp,input,23,0.9986236513612508,0.99798178588275,0.9995143436495386
fig5,mlp,input,10,0.9986238479452185,0.9979811774201063,0.9995145000898367
fig5,mlp,input,7,0.9986191285861098,0.9979813099681119,0.9995098769995007
fig5,mlp,input,5,0.9985842665476168,0.9979429876477759,0.9994592471484605
fig5,mlp,input,4,0.9984705084006735,0.997866781615184,0.9993216613174483
fig5,mlp,input,3,0.9979825997034297,0.9973485260820955,0.9989321326502993
fig5,mlp,input,2,0.9962086581208469,0.9952970987410334,0.997172752942574
fig5,mlp,input,1,0.9893485082939051,0.9888588936230966,0.990573170296408
