figure,panel,series,bits,value,min,max
fig6,elementwise,activation,23,5.388538236318937,,
fig6,elementwise,activation,10,5.387388431425738,,
fig6,elementwise,activation,7,5.388405027769362,,
fig6,elementwise,activation,5,5.373045329402637,,
fig6,elementwise,activation,4,5.551786336145814,,
fig6,elementwise,activation,3,5.8969106264163305,,
fig6,elementwise,activation,2,7.631713742977271,,
fig6,elementwise,activation,1,16.41910115814423,,
fig6,elementwise,weight,23,5.388538412968989,,
fig6,elementwise,weight,10,5.420447030538125,,
fig6,elementwise,weight,7,5.634505279705116,,
fig6,elementwise,weight,5,7.268290624840314,,
fig6,elementwise,weight,4,9.826267177336774,,
fig6,elementwise,weight,3,13.275515210299444,,
fig6,elementwise,weight,2,18.931392038654057,,
fig6,elementwise,weight,1,26.45625342915177,,
fig6,elementwise,both,23,5.388538316614414,,
fig6,elementwise,both,10,5.418391153544132,,
fig6,elementwise,both,7,5.623046576029362,,
fig6,elementwise,both,5,7.381501924058118,,
fig6,elementwise,both,4,10.308813342339258,,
fig6,elementwise,both,3,13.771872773009694,,
fig6,elementwise,both,2,19.948611550902275,,
fig6,elementwise,both,1,27.711780052494134,,
fig6,bfp16,activation,23,5.388538750210014,,
fig6,bfp16,activation,10,5.38696144783846,,
fig6,bfp16,activation,7,5.3863684471394935,,
fig6,bfp16,activation,5,5.531810969326883,,
fig6,bfp16,activation,4,5.71383503159277,,
fig6,bfp16,activation,3,6.508187859959341,,
fig6,bfp16,activation,2,9.817321948976366,,
fig6,bfp16,activation,1,26.802194825101292,,
fig6,bfp16,weight,23,5.388541833557501,,
fig6,bfp16,weight,10,5.476808849370806,,
fig6,bfp16,weight,7,6.433805650435874,,
fig6,bfp16,weight,5,10.914628374086723,,
fig6,bfp16,weight,4,15.186709773775322,,
fig6,bfp16,weight,3,26.416199216933986,,
fig6,bfp16,weight,2,26.261402132716242,,
fig6,bfp16,weight,1,26.361738969084353,,
fig6,bfp16,both,23,5.388542379567137,,
fig6,bfp16,both,10,5.476870955550487,,
fig6,bfp16,both,7,6.476131842570225,,
fig6,bfp16,both,5,11.170723044263614,,
fig6,bfp16,both,4,14.944788039957945,,
fig6,bfp16,both,3,26.828118098176514,,
fig6,bfp16,both,2,27.4902089967506,,
fig6,bfp16,both,1,32.087526327745046,,
