figure,panel,series,bits,value,min,max
fig7,elementwise,grad,23,8.1e-05,,
fig7,elementwise,grad,10,9.4e-05,,
fig7,elementwise,grad,7,0.00012,,
fig7,elementwise,grad,5,0.000182,,
fig7,elementwise,grad,4,0.000152,,
fig7,elementwise,grad,3,0.000144,,
fig7,elementwise,grad,2,0.000239,,
fig7,elementwise,grad,1,0.000524,,
fig7,elementwise,grad_sr,23,9.3e-05,,
fig7,elementwise,grad_sr,10,0.00011,,
fig7,elementwise,grad_sr,7,0.000218,,
fig7,elementwise,grad_sr,5,0.000153,,
fig7,elementwise,grad_sr,4,0.000164,,
fig7,elementwise,grad_sr,3,0.000302,,
fig7,elementwise,grad_sr,2,0.000371,,
fig7,elementwise,grad_sr,1,0.000652,,
fig7,bfp16,grad,23,6.5e-05,,
fig7,bfp16,grad,10,0.0001,,
fig7,bfp16,grad,7,9.7e-05,,
fig7,bfp16,grad,5,0.000104,,
fig7,bfp16,grad,4,0.000199,,
fig7,bfp16,grad,3,0.000286,,
fig7,bfp16,grad,2,0.000553,,
fig7,bfp16,grad,1,0.001575,,
fig7,bfp16,grad_sr,23,0.000117,,
fig7,bfp16,grad_sr,10,0.00012,,
fig7,bfp16,grad_sr,7,0.000138,,
fig7,bfp16,grad_sr,5,0.000155,,
fig7,bfp16,grad_sr,4,0.000153,,
fig7,bfp16,grad_sr,3,0.000304,,
fig7,bfp16,grad_sr,2,0.000755,,
fig7,bfp16,grad_sr,1,0.001809,,
