figure,panel,series,bits,value,min,max
fig8,elementwise,grad,23,0.011594,,
fig8,elementwise,grad,10,0.013808,,
fig8,elementwise,grad,7,0.016632,,
fig8,elementwise,grad,5,0.018052,,
fig8,elementwise,grad,4,0.017529,,
fig8,elementwise,grad,3,0.017077,,
fig8,elementwise,grad,2,0.023129,,
fig8,elementwise,grad,1,0.03358,,
fig8,elementwise,grad_sr,23,0.015327,,
fig8,elementwise,grad_sr,10,0.015914,,
fig8,elementwise,grad_sr,7,0.020747,,
fig8,elementwise,grad_sr,5,0.014845,,
fig8,elementwise,grad_sr,4,0.018351,,
fig8,elementwise,grad_sr,3,0.023426,,
fig8,elementwise,grad_sr,2,0.029362,,
fig8,elementwise,grad_sr,1,0.039629,,
fig8,bfp16,grad,23,0.0121,,
fig8,bfp16,grad,10,0.014271,,
fig8,bfp16,grad,7,0.014661,,
fig8,bfp16,grad,5,0.013806,,
fig8,bfp16,grad,4,0.01958,,
fig8,bfp16,grad,3,0.024005,,
fig8,bfp16,grad,2,0.037091,,
fig8,bfp16,grad,1,0.068845,,
fig8,bfp16,grad_sr,23,0.016201,,
fig8,bfp16,grad_sr,10,0.015239,,
fig8,bfp16,grad_sr,7,0.015883,,
fig8,bfp16,grad_sr,5,0.017211,,
fig8,bfp16,grad_sr,4,0.017253,,
fig8,bfp16,grad_sr,3,0.025024,,
fig8,bfp16,grad_sr,2,0.040702,,
fig8,bfp16,grad_sr,1,0.065494,,
