figure,panel,series,bits,value,min,max
fig9,elementwise,raw,23,0.011616,,
fig9,elementwise,raw,10,0.013868,,
fig9,elementwise,raw,7,0.016667,,
fig9,elementwise,raw,5,0.018153,,
fig9,elementwise,raw,4,0.017694,,
fig9,elementwise,raw,3,0.017463,,
fig9,elementwise,raw,2,0.028272,,
fig9,elementwise,raw,1,0.04116,,
fig9,elementwise,centered,23,0.011594,,
fig9,elementwise,centered,10,0.013808,,
fig9,elementwise,centered,7,0.016632,,
fig9,elementwise,centered,5,0.018052,,
fig9,elementwise,centered,4,0.017529,,
fig9,elementwise,centered,3,0.017077,,
fig9,elementwise,centered,2,0.023129,,
fig9,elementwise,centered,1,0.03358,,
fig9,bfp16,raw,23,0.012134,,
fig9,bfp16,raw,10,0.014302,,
fig9,bfp16,raw,7,0.016495,,
fig9,bfp16,raw,5,0.044946,,
fig9,bfp16,raw,4,0.094724,,
fig9,bfp16,raw,3,0.206588,,
fig9,bfp16,raw,2,0.406773,,
fig9,bfp16,raw,1,0.773629,,
fig9,bfp16,centered,23,0.0121,,
fig9,bfp16,centered,10,0.014271,,
fig9,bfp16,centered,7,0.014661,,
fig9,bfp16,centered,5,0.013806,,
fig9,bfp16,centered,4,0.01958,,
fig9,bfp16,centered,3,0.024005,,
fig9,bfp16,centered,2,0.037091,,
fig9,bfp16,centered,1,0.068845,,
